Run,Cell_line,Cellosaurus_ID
SRR8615878,OS-RC-2,CVCL_1626
SRR8615879,OVISE,CVCL_3116
SRR8615882,Hs 852.T,CVCL_0950
SRR8615883,Hs 888.T,CVCL_0979
SRR8615885,Hs 934.T,CVCL_1031
SRR8615886,Hs 895.T,CVCL_0993
SRR8615888,Hs 936.T,CVCL_1033
SRR8615891,HCC2157,CVCL_1261
SRR8615892,SW579,CVCL_3603
SRR8615895,TYK-nu,CVCL_1776
SRR8615896,U266B1,CVCL_0566
SRR8615898,NCI-H1299,CVCL_0060
SRR8615899,NCI-H1339,CVCL_A472
SRR8615900,HCC-33,CVCL_2058
SRR8615904,NCI-H1341,CVCL_1463
SRR8615905,NCI-H1355,CVCL_1464
SRR8615906,KM12,CVCL_1331
SRR8615910,KG-1,CVCL_0374
SRR8615912,Ki-JK,CVCL_2093
SRR8615913,KHM-1B,CVCL_2972
SRR8615915,JHOC-5,CVCL_4640
SRR8615918,JHH-2,CVCL_2786
SRR8615919,JHH-4,CVCL_2787
SRR8615923,JHOS-4,CVCL_4649
SRR8615924,SW1116,CVCL_0544
SRR8615927,SUP-T11,CVCL_2210
SRR8615928,SUP-M2,CVCL_2209
SRR8615931,SNU-213,CVCL_5034
SRR8615932,SNU-182,CVCL_0090
SRR8615935,SNU-175,CVCL_5031
SRR8615936,SNU-1214,CVCL_5017
SRR8615940,SK-N-FI,CVCL_1702
SRR8615941,KMS-34,CVCL_2996
SRR8615943,KYO-1,CVCL_2095
SRR8615944,NCI-H1437,CVCL_1472
SRR8615948,COV318,CVCL_2419
SRR8615949,COV362,CVCL_2420
SRR8615952,DB,CVCL_1168
SRR8615954,NCI-H1648,CVCL_1482
SRR8615957,D283 Med,CVCL_1155
SRR8615958,CW-2,CVCL_1151
SRR8615959,DAN-G,CVCL_0243
SRR8615962,Daoy,CVCL_1167
SRR8615963,COR-L105,CVCL_1138
SRR8615973,PrEC LH,CVCL_V626
SRR8615976,NCI-H838,CVCL_1594
SRR8615977,NCI-H889,CVCL_1598
SRR8615980,NCI-H1792,CVCL_1495
SRR8615982,NCI-H810,CVCL_1590
SRR8615984,NCI-H1703,CVCL_1490
SRR8615987,NCI-H1650,CVCL_1483
SRR8615988,NCI-H1651,CVCL_1484
SRR8615989,NCI-H1666,CVCL_1485
SRR8615992,SNU-685,CVCL_5083
SRR8615993,RERF-LC-MS,CVCL_1655
SRR8615997,HCC-2814,CVCL_V586
SRR8616000,HCC-2279,CVCL_5131
SRR8616001,HCC2218,CVCL_1263
SRR8616004,DMS 273,CVCL_1176
SRR8616006,DEL,CVCL_1170
SRR8616009,DM-3,CVCL_2019
SRR8616010,T3M-4,CVCL_4056
SRR8616013,A-704,CVCL_1065
SRR8616014,A427,CVCL_1055
SRR8616015,A-498,CVCL_1056
SRR8616017,A549,CVCL_0023
SRR8616018,A-253,CVCL_1060
SRR8616019,A2780,CVCL_0134
SRR8616020,A-375,CVCL_0132
SRR8616023,SNU-761,CVCL_5089
SRR8616024,SNU-61,CVCL_5078
SRR8616027,SNU-620,CVCL_5079
SRR8616028,RPMI 8226,CVCL_0014
SRR8616031,SNU-719,CVCL_5086
SRR8616034,KYSE-150,CVCL_1348
SRR8616036,KYSE-270,CVCL_1350
SRR8616039,KYSE-30,CVCL_1351
SRR8616040,HSC-2,CVCL_1287
SRR8616042,HSC-4,CVCL_1289
SRR8616045,HT-1197,CVCL_1291
SRR8616047,HT-144,CVCL_0318
SRR8616048,SK-MEL-1,CVCL_0068
SRR8616051,SKM-1,CVCL_0098
SRR8616054,SK-MEL-28,CVCL_0526
SRR8616057,SK-MES-1,CVCL_0630
SRR8616058,SW403,CVCL_0545
SRR8616060,MOLT-16,CVCL_1424
SRR8616063,MOLM-6,CVCL_2122
SRR8616064,MOLM-16,CVCL_2120
SRR8616067,ML-1 [Human thyroid carcinoma],CVCL_H525
SRR8616069,MOLM-13,CVCL_2119
SRR8616070,MM1-S,CVCL_8792
SRR8616073,KS-1 [Human glioblastoma],CVCL_1343
SRR8616074,KU-19-19,CVCL_1344
SRR8616075,KP4,CVCL_1338
SRR8616076,KPL-1,CVCL_2094
SRR8616077,KPMRTRY,CVCL_7051
SRR8616078,KP-N-RT-BM-1,CVCL_1339
SRR8616079,ChaGo-K-1,CVCL_1121
SRR8616080,KU812,CVCL_0379
SRR8616081,KURAMOCHI,CVCL_1345
SRR8616085,TOV-112D,CVCL_3612
SRR8616086,TM-87;TM87,CVCL_8001
SRR8616088,TIG-3 TD,CVCL_V617
SRR8616091,THP-1,CVCL_0006
SRR8616092,TEN,CVCL_E063
SRR8616094,RKN,CVCL_3156
SRR8616098,SCC-4,CVCL_1684
SRR8616100,SCC-15,CVCL_1681
SRR8616102,SBC-5,CVCL_1679
SRR8616104,SALE,CVCL_WS60
SRR8616106,NCI-H2291,CVCL_1546
SRR8616107,NCI-H2171,CVCL_1536
SRR8616109,NCI-H2196,CVCL_1539
SRR8616111,NCI-H2228,CVCL_1543
SRR8616113,NCI-H2286,CVCL_1545
SRR8616115,LCLC-103H,CVCL_1375
SRR8616116,BICR 6,CVCL_2314
SRR8616117,BICR 56,CVCL_2313
SRR8616118,BL-70,CVCL_1088
SRR8616121,BICR 16,CVCL_2308
SRR8616124,BT-20,CVCL_0178
SRR8616125,BT-12,CVCL_M155
SRR8616128,TE-9,CVCL_1767
SRR8616131,HGC-27,CVCL_1279
SRR8616134,HH [Human lymphoma],CVCL_1280
SRR8616137,CI-1,CVCL_1861
SRR8616139,CL-11,CVCL_1978
SRR8616140,CL-14,CVCL_1979
SRR8616141,CL-34,CVCL_1980
SRR8616143,CMK,CVCL_0216
SRR8616145,COLO 201,CVCL_1987
SRR8616147,SK-N-DZ,CVCL_1701
SRR8616148,P31/FUJ,CVCL_1632
SRR8616150,Panc 02.03,CVCL_1633
SRR8616151,P3HR-1,CVCL_2676
SRR8616154,OVTOKO,CVCL_3117
SRR8616156,NCI-H650,CVCL_1575
SRR8616158,NCI-H661,CVCL_1577
SRR8616160,NCI-H524,CVCL_1568
SRR8616161,NCI-H526,CVCL_1569
SRR8616163,NCI-H647,CVCL_1574
SRR8616167,253J-BV,CVCL_7937
SRR8616170,639-V,CVCL_1048
SRR8616173,42-MG-BA,CVCL_1798
SRR8616176,HCC-15,CVCL_2057
SRR8616180,HCC1500,CVCL_1254
SRR8616184,Sq-1,CVCL_4900
SRR8616185,LoVo,CVCL_0399
SRR8616189,NCI-H1573,CVCL_1478
SRR8616191,NCI-H1618,CVCL_1480
SRR8616192,NCI-H1581,CVCL_1479
SRR8616193,CA46,CVCL_1101
SRR8616196,BT-483,CVCL_2319
SRR8616198,BV-173,CVCL_0181
SRR8616199,BxPC-3,CVCL_0186
SRR8616200,C2BBe1,CVCL_1096
SRR8616203,Hs 172.T,CVCL_0660
SRR8616204,Hs 229.T,CVCL_0698
SRR8616205,HOP-62,CVCL_1285
SRR8616209,HPAF-II,CVCL_0313
SRR8616211,HOS,CVCL_0312
SRR8616212,HPAC,CVCL_3517
SRR8616214,EW8,CVCL_1658
SRR8616215,FaDu,CVCL_1218
SRR8616219,ESS-1,CVCL_1205
SRR8615222,TE-15,CVCL_1763
SRR8615227,OE21,CVCL_2661
SRR8615228,OE33,CVCL_0471
SRR8615230,ONCO-DG-1,CVCL_1882
SRR8615233,MEL-HO,CVCL_1402
SRR8615235,MFE-319,CVCL_2112
SRR8615238,MeWo,CVCL_0445
SRR8615240,MG-63,CVCL_0426
SRR8615242,OCI-AML3,CVCL_1844
SRR8615243,OAW28,CVCL_1614
